"% Crown Consumed (crown volume completely consumed by fire)","% Crown Scorch (crown volume scorched/singed by the fire)","% Green Crown (% of crown area green at time of assessment)","% Trunk Burn",Address,"Address Number","Address Street","Affected Parts of the Tree",Archived,"Area of New Growth",City,Code,"Common Name",Condition,"Critical Root Zone(CRZ)","Crown Light Exposure","Crown Width (width of canopy, measured)","CRZ Ratio",Cultivar,"Data Source","Date Added","Date of Assessment","Date Planted",DBH,"DBH Range","DBH Stem 1","DBH Stem 2","DBH Stem 3","DBH Stem 4","DBH Stem 5","DBH Stem 6","Distance from Nearest Burned Structure","East Canopy Length (in.)",Family,Funder,Genus,Geometry,"GPS Latitude - (Hand Held Unit)","GPS Longitude - (Hand Held Unit)","Grant Cycle","Green Infrastructure Type","Growing Space","Has Ecobenefits","Height Range","Height to Crown Base (measurement to lowest lateral branch)","Impervious Area","Infection Severity","Inspection Cycle","Installed Irrigation","Irrigation type",Jurisdiction,"Jurisdiction (temp)","Land Use","Last Inspection","Last Modified","Last Modified User","Last Watered","Latin Name",Latitude,"Location Description",Longitude,"Maintenance Comments","Measument (A) - Distance from Eye level to Ground (ft.)","Measurment (B) - Distance from You to Trunk (ft.)","Measurment (C) - Clinometer Angle","New Fungal Activity","New Insect Activity","Next Inspection","North Canopy Length (in.)",Notes,"Number of Stems",Observations,"Paid for by","Park Name","Percent Dieback (%)",Photos,"Planting Site Width","Possible Infection?","Presence of Insulating Bark","Primary ID","Project Name","Property Address","Recovery Potential with Interventions",Size,"South Canopy Length (in.)",Status,"Structural Damage to Branches","Structures Burned","Survival Potential","Temperature Outside Tree Shade (F)","Temperature Under Tree Shade (F)","TPZ Ratio","Tree Assessor Name","Tree Comments","Tree Height (Estimated)","Tree Number","Tree Protection Zone(TPZ)","Tree Work","Trunk Burn Severity","Trunk Cambium Health",Understory,User,Watering,"Weather Conditions","West Canopy Length (in.)",Wires
,,,,"2790 North Olive Avenue",2790,"North Olive Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F00003B6C0DC3551669C17810D4C37CEF4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.193228743196,,-118.15488915427,,,,,,,,,,1,,,,,,,,,65612,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"Ash. Very large and mature",,1,,,,,,Marian,,,,
,,,,"2782 Glen Avenue",2782,"Glen Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F00008D9612B8391669C1EB3B651B6CEF4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.192981192905,,-118.15287384573,,,,,,,,,,1,,,,,,,,,65611,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"Oak in the backyard, pine in the front.",,1,,,,,,Marian,,,,
,,,,"2751 Glenrose Avenue",2751,"Glenrose Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F000092B1ED00361669C14625E3DB35EF4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.192175018151,,-118.1526068372,,,,,,,,,,1,,,,,,,,,65610,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,,,1,,,,,,Marian,,,,
,,,,"327 East Mendocino Street",327,"East Mendocino Street",,No,,Altadena,,"Property - Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F00008D37AC02A71569C12FA8FC457CEE4E41,,,,,,No,N/A,,,,,,,,,,10/5/2025,10/9/2025,Marian,10/5/2025,,34.189416993374,,-118.1423306,,,,,,,,,,1,,,,,,,,,65609,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"2 palms and a set of birds of paradise; bushes on west wall are new and need water too. Thanks!",,1,,,,,,Marian,,,,
,,,,"2281 Norwic Place",2281,"Norwic Place",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F00001E2E4BEFFD1469C15729CAE252ED4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.184997269034,,-118.1301799372,,,,,,,,,,1,,,,,,,,,65608,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,,,1,,,,,,Marian,,,,
,,,,"1220 Sagemont Place",1220,"Sagemont Place",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F00006B1B2DDABE1469C16835661E33F04E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.195938618476,,-118.1256465,,,,,,,,,,1,,,,,,,,,65607,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,,,1,,,,,,Marian,,,,
,,,,"3116 North Fair Oaks Avenue",3116,"North Fair Oaks Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F000030C7B84AD01569C17137FE30D1F04E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.198287592207,,-118.1452973,,,,,,,,,,1,,,,,,,,,65606,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,,,1,,,,,,Marian,,,,
,,,,"3051 Glen Avenue",3051,"Glen Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F000019A0A650251669C13034BC6698F04E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.197443694121,,-118.15140750837,,,,,,,,,,1,,,,,,,,,65605,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"Palm, lime, and big pine (not deodar) ",,1,,,,,,Marian,,,,
,,,,"3460 Loma View Drive",3460,"Loma View Drive",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000CB71BF13C81569C1BE9FF7B53BF24E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.20367441688,,-118.14470694573,,,,,,,,,,1,,,,,,,,,65604,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"Chinese Elm",,1,,,,,,Marian,,,,
,,,,"1933 East Loma Alta Drive",1933,"East Loma Alta Drive",,No,,Altadena,,"Property - Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000465CB637EF1369C1162076AC71EF4E41,,,,,,No,N/A,,,,,,,,,,10/5/2025,10/9/2025,Marian,10/5/2025,,34.193063918053,,-118.11072479147,,,,,,,,,,1,,,,,,,,,65603,"Altadena Tree Protection: Properties Served",,,,,Alive,,,,,,,,"4 Palm trees, 1 oak, 2 bougainvilleas all in the public way and inside the yard there is 1 flowering plum tree and 1 Judas tree and 1 bougainvillea.  This does not include the palm trees on the north side of the drainage channel nor on the hillside.",,1,,,,,,Marian,,,,
